    x          z
    8.1426    5.2860
    7.8266    5.3460
    8.0347    5.4001
    8.5765    4.4662
    9.5374    4.7276
    9.9545    4.3971
   10.0363    4.3267
   10.2521    4.0845
   10.3719    3.9262
   10.5637    4.2511
   10.8212    4.4131
   11.0645    4.3053
   10.8979    3.8774
   11.3186    4.3230
   11.4452    4.4038
   11.4306    4.3656
   11.8054    4.1851
   11.9433    3.9057
   12.1654    3.8893
   12.5997    3.2670
   12.5864    3.4643
   12.5901    3.5788
   12.8354    3.8276
   12.8595    3.9185
   12.6670    4.3173
   12.6849    4.2994
   12.9749    4.1301
   12.9665    4.1187
   13.0722    3.8089
   13.2279    3.0390
   23.6750   -7.5769
   23.7547   -7.8342
   23.6255   -7.7741
   23.4734   -8.3103
   23.3602   -8.4676
   23.7869   -8.4919
   23.9536   -8.7918
   23.7980   -8.7962
   23.6258   -9.4202
   23.7526   -9.5494
   24.0360   -9.3342
   23.9726   -9.3375
   23.7599   -9.5622
   23.7531   -9.6315
   23.7474   -9.9244
   23.7532   -9.7915
   24.0329   -9.9938
   24.1428  -10.3628
   23.7258  -10.6561
   23.9394  -10.8570
   23.6485  -10.9689
   23.4406  -11.1730
   23.5106  -11.2709
   23.5853  -11.3379
   23.5860  -11.3058
   23.6825  -11.4823
   23.7612  -11.9610
   23.6384  -12.0517
   23.6163  -12.0256
   23.5857  -11.8634
  -24.4418   -6.6379
  -24.6151   -6.6983
  -24.4165   -6.7507
  -24.6346   -7.0622
  -24.9284   -6.9806
  -24.6311   -7.0786
  -24.5728   -6.9664
  -24.1371   -6.9474
  -24.0546   -6.9718
  -23.6398   -6.7844
  -23.9899   -6.4942
  -23.8573   -6.1268
  -23.9461   -5.8574
  -23.9515   -5.9806
  -23.7508   -5.2148
  -23.9599   -4.7814
  -24.0542   -4.8270
  -23.4787   -4.8573
  -23.5068   -4.8048
  -23.1758   -4.9026
  -23.1585   -4.6333
  -22.8224   -4.5948
  -22.7321   -4.4821
  -22.6069   -4.2222
  -22.5408   -3.9318
  -22.4823   -3.8154
  -22.4358   -3.9223
  -22.8222   -4.2706
  -22.6932   -3.8886
  -23.1863   -3.8407
  -27.5580   -4.8725
  -27.4876   -5.0256
  -27.5484   -5.4219
  -27.3333   -5.3267
  -27.2933   -5.5386
  -27.0301   -6.3225
  -27.2181   -6.4313
  -26.9797   -6.0262
  -27.2661   -5.7950
  -27.2129   -5.5973
  -27.2248   -5.9205
  -27.1772   -6.2214
  -27.5446   -6.6008
  -27.1981   -6.0647
  -27.0653   -6.2751
  -26.7506   -6.4451
