x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18	y19	y20	y21	y22	y23	y24	y25	y26	y27	y28	y29	y30	y31	y32	y33
8.14	23.68	-24.44	-27.56	-29.33	-22.42	10.02	-23.41	19.01	27.91	-27.04	-20.43	-14.3	13.86	-18.95	-19.86	12.79	-26.57	-27.97	25.86	-26.6	30.03	23.69	-16.41	5.94	-25.28	-11.04	22.58	-29.7	-1.83	-32.38	19.61	-17.2	5.29	-7.58	-6.64	-4.87	10.35	-5.84	-2.63	-8.68	-4.65	12.43	-1.46	-1.8	5.73	-5.4	-7.58	-9.35	0.87	6.07	13.58	9.21	-2.54	-4.01	6.15	-3.7	3.92	11.87	-6.04	4.83	-9.28	2.2	5.53	-5.21	-10.17
7.83	23.75	-24.62	-27.49	-29.79	-22.67	10.08	-23.54	19.11	27.73	-27.39	-20.45	-14.4	13.7	-19.02	-19.77	13.05	-26.82	-28.03	26.33	-26.53	29.99	23.83	-16.58	5.91	-24.91	-11	22.74	-29.64	-2.08	-32.26	19.78	-17.04	5.35	-7.83	-6.7	-5.03	10.45	-6	-2.74	-8.89	-4.18	12.52	-1.17	-2.02	5.85	-5.34	-7.45	-9.08	0.86	6.04	13.78	9.17	-2.6	-3.76	6.26	-3.69	3.88	11.33	-6.03	5.17	-9.34	2.01	5.53	-5.35	-10.34
8.03	23.63	-24.42	-27.55	-29.56	-22.83	10.09	-23.35	19.18	28.01	-27.24	-20.55	-14.24	13.61	-18.81	-19.64	13.06	-26.68	-28.31	26.5	-26.24	30.05	23.73	-15.65	6.16	-24.59	-11.24	22.65	-29.56	-1.67	-32.19	19.69	-17.35	5.4	-7.77	-6.75	-5.42	10.25	-5.52	-2.53	-9.02	-4.31	12.27	-1.08	-1.78	5.84	-5.18	-7.87	-9.18	0.87	6.04	13.64	8.96	-2.59	-3.93	6.34	-4.38	3.84	11.01	-5.98	5.24	-9.47	1.89	5.22	-5.15	-10.6
8.58	23.47	-24.63	-27.33	-29.97	-23.11	10.43	-23.4	19.02	28.24	-27.74	-20.64	-13.9	13.23	-19.06	-19.22	13.25	-27.11	-28.07	26.4	-26.18	30.16	23.21	-15.62	6.48	-24.42	-11.28	23.59	-29.84	-1.79	-32.18	19.71	-17.26	4.47	-8.31	-7.06	-5.33	10.32	-5.58	-2.82	-9.28	-4.08	11.98	-1.22	-1.5	6.22	-5.56	-8.33	-9.15	0.44	6.01	13.95	8.74	-2.83	-3.59	6.49	-4.05	4.09	11.23	-5.98	4.96	-9.38	1.64	5.46	-5.52	-10.37
9.54	23.36	-24.93	-27.29	-29.79	-23.05	10.91	-23.42	18.6	27.95	-27.99	-20.86	-13.62	13	-18.87	-19.17	13.36	-27.26	-28.37	26.56	-25.78	30.24	22.99	-15.62	7.06	-24.27	-11.26	23.37	-29.76	-1.89	-32.36	19.77	-17.04	4.73	-8.47	-6.98	-5.54	10.35	-5.38	-2.72	-9.35	-4.42	11.62	-1.28	-1.44	6.22	-5.39	-7.97	-9.12	0.67	6.01	14.3	8.62	-2.43	-3.21	6.53	-3.98	3.81	10.97	-5.59	4.86	-9.49	1.51	5.42	-4.84	-10.42
9.95	23.79	-24.63	-27.03	-29.99	-22.63	10.98	-23.48	18.4	28.17	-28.2	-20.53	-13.55	12.83	-18.97	-18.6	13.22	-27.44	-28.58	26.48	-25.71	30.03	22.92	-15.71	7.03	-24.11	-11.1	23.24	-29.06	-1.8	-32.31	19.9	-17.03	4.4	-8.49	-7.08	-6.32	10.33	-4.98	-2.76	-9.46	-4.64	11.24	-1.3	-1.38	5.81	-5.61	-8.18	-9.19	0.60	6.13	14.22	8.68	-2.51	-3.12	6.77	-3.73	3.78	11.06	-5.31	4.66	-9.97	1.37	5.57	-4.6	-10.27
10.04	23.95	-24.57	-27.22	-28.73	-22.48	11.11	-23.91	18.37	28.33	-28.23	-20.88	-13.55	11.88	-18.88	-18.51	13.12	-27.74	-28.95	26.01	-25.74	30.09	22.61	-16.02	7.17	-23.99	-10.84	23.15	-29.12	-2.1	-32.19	20.13	-17.24	4.33	-8.79	-6.97	-6.43	10.39	-5.01	-2.66	-9.68	-4.72	11.24	-1.66	-1.22	5.66	-6.25	-8.49	-8.83	0.67	6.26	14.43	8.39	-2.66	-2.99	6.77	-3.95	3.34	10.68	-5.03	4.18	-10.09	1.28	5.6	-4.51	-9.66
10.25	23.8	-24.14	-26.98	-28.49	-22.52	11	-24.68	18.2	27.85	-28.66	-20.69	-13.31	11.7	-19.51	-18.46	13.26	-27.76	-29.08	25.84	-25.73	29.28	22.94	-16.09	7.47	-23.73	-10.24	23.05	-29.66	-2.16	-31.54	19.86	-16.5	4.08	-8.8	-6.95	-6.03	10.28	-4.91	-2.7	-9.25	-5.54	11.16	-1.12	-1.25	5.72	-6.34	-8.66	-8.43	1.16	5.75	14.42	8.37	-2.7	-2.64	6.94	-3.9	3.61	10.23	-4.7	4.17	-10.51	0.90	5.54	-4.4	-9.73
10.37	23.63	-24.05	-27.27	-28.49	-22.25	11.4	-24.5	18.26	27.99	-28.71	-20.82	-13.28	11.36	-19.81	-18.63	12.9	-28.09	-29.42	25.73	-25.76	29.36	22.78	-15.75	7.65	-23.27	-10.34	22.83	-29.83	-2.46	-31.53	19.76	-16.45	3.93	-9.42	-6.97	-5.8	10.39	-4.3	-2.89	-9.41	-5.58	11.33	-0.77	-1.01	5.42	-6.29	-8.5	-8.44	2.16	5.81	14.41	8.4	-2.28	-2.67	7.33	-4.15	3.83	10.21	-4.75	3.86	-10.44	1.01	5.83	-4.74	-9.28
10.56	23.75	-23.64	-27.21	-28.08	-22.01	11.22	-24.35	18.3	27.41	-28.54	-20.48	-13.36	11.08	-19.54	-19.01	12.73	-28.08	-29.6	25.58	-25.48	29.43	22.66	-16	7.69	-22.98	-10.26	22.78	-29.83	-2.55	-31.6	19.72	-16.53	4.25	-9.55	-6.78	-5.6	10.57	-4.04	-3.09	-9.46	-5.37	11.05	-0.66	-1	5.5	-5.97	-8.19	-8.66	2.27	5.69	14.24	8.58	-2	-3.04	7.98	-4.39	3.41	9.56	-4.84	3.88	-10.72	0.67	5.83	-4.61	-8.96
