    z            rho      t          v
  -16.2931         0         0         0
  -16.1294         0         0         0
  -15.9656         0         0         0
  -15.8019         0         0         0
  -15.6381         0         0         0
  -15.4744         0         0         0
  -15.3106    0.0003    0.9784   -0.4114
  -15.1469    0.5687    1.0080    0.0065
  -14.9831    2.0261    0.9633    0.0076
  -14.8194    3.7595    0.9713   -0.0055
  -14.6556    4.4166    0.9733    0.0080
  -14.4919    4.4708    0.9632    0.0155
  -14.3281    3.9202    0.9754    0.0180
  -14.1644    3.7407    0.9728    0.0331
  -14.0006    3.9348    0.9686    0.0311
  -13.8369    4.0927    0.9705    0.0377
  -13.6731    4.0605    0.9670    0.0434
  -13.5094    3.9767    0.9677    0.0551
  -13.3456    3.9534    0.9753    0.0588
  -13.1819    4.0358    0.9757    0.0633
  -13.0181    3.9826    0.9805    0.0623
  -12.8544    3.9674    0.9767    0.0625
  -12.6906    3.9619    0.9734    0.0698
  -12.5269    4.0299    0.9712    0.0798
  -12.3631    4.0087    0.9760    0.0948
  -12.1994    4.0341    0.9718    0.0906
  -12.0356    3.9708    0.9809    0.1068
  -11.8719    3.9488    0.9815    0.1089
  -11.7081    4.0246    0.9729    0.1144
  -11.5444    4.0184    0.9693    0.1297
  -11.3806    3.9942    0.9744    0.1473
  -11.2169    4.0296    0.9727    0.1432
  -11.0531    4.0497    0.9777    0.1520
  -10.8894    4.0403    0.9778    0.1541
  -10.7256    4.0723    0.9691    0.1729
  -10.5619    4.0471    0.9716    0.1700
  -10.3981    4.0849    0.9730    0.1800
  -10.2344    4.1449    0.9699    0.1877
  -10.0706    4.0568    0.9757    0.1920
   -9.9069    4.0689    0.9745    0.1987
   -9.7431    4.1007    0.9718    0.2076
   -9.5794    4.0650    0.9771    0.2132
   -9.4156    4.1269    0.9764    0.2201
   -9.2519    4.0651    0.9803    0.2250
   -9.0881    4.0455    0.9733    0.2280
   -8.9244    4.0373    0.9802    0.2507
   -8.7606    4.0792    0.9754    0.2582
   -8.5969    4.0990    0.9740    0.2516
   -8.4331    4.0825    0.9740    0.2587
   -8.2694    4.0928    0.9707    0.2701
   -8.1056    4.0650    0.9704    0.2737
   -7.9419    4.1109    0.9689    0.2740
   -7.7781    4.0884    0.9685    0.2978
   -7.6144    4.1036    0.9725    0.2820
   -7.4506    4.0828    0.9718    0.2877
   -7.2869    4.0653    0.9769    0.2981
   -7.1231    4.1231    0.9720    0.2959
   -6.9594    4.1798    0.9744    0.3054
   -6.7956    4.1720    0.9649    0.3216
   -6.6319    4.1338    0.9743    0.3201
   -6.4681    4.1303    0.9698    0.3205
   -6.3044    4.1320    0.9680    0.3200
   -6.1406    4.1652    0.9651    0.3212
   -5.9769    4.1392    0.9744    0.3256
   -5.8131    4.1081    0.9748    0.3289
   -5.6494    4.0747    0.9801    0.3354
   -5.4856    4.0809    0.9792    0.3329
   -5.3219    4.1271    0.9764    0.3349
   -5.1581    4.1213    0.9706    0.3533
   -4.9944    4.0815    0.9728    0.3625
   -4.8306    4.0707    0.9738    0.3692
   -4.6669    4.0645    0.9758    0.3723
   -4.5031    4.1261    0.9778    0.3761
   -4.3394    4.1421    0.9715    0.3800
   -4.1756    4.1273    0.9702    0.3787
   -4.0119    4.1081    0.9703    0.3806
   -3.8481    4.0683    0.9733    0.3918
   -3.6844    4.1170    0.9675    0.3869
   -3.5206    4.1355    0.9802    0.3834
   -3.3569    4.0898    0.9808    0.3828
   -3.1931    4.1148    0.9720    0.3888
   -3.0294    4.1298    0.9710    0.3966
   -2.8656    4.0634    0.9729    0.4039
   -2.7019    4.0866    0.9727    0.4078
   -2.5381    4.0863    0.9739    0.4015
   -2.3744    4.0603    0.9686    0.3998
   -2.2106    4.1074    0.9703    0.4020
   -2.0469    4.1021    0.9698    0.4006
   -1.8831    4.0721    0.9772    0.4006
   -1.7194    4.0416    0.9817    0.4021
   -1.5556    4.0456    0.9730    0.4150
   -1.3919    4.0900    0.9714    0.4246
   -1.2281    4.0635    0.9763    0.4173
   -1.0644    4.0760    0.9770    0.4219
   -0.9006    4.0871    0.9698    0.4334
   -0.7369    4.0574    0.9677    0.4356
   -0.5731    4.0548    0.9698    0.4349
   -0.4094    4.0439    0.9738    0.4287
   -0.2456    4.0787    0.9753    0.4347
   -0.0819    4.1193    0.9722    0.4387
    0.0819    4.1193    0.9722    0.4387
    0.2456    4.0787    0.9753    0.4347
    0.4094    4.0439    0.9738    0.4287
    0.5731    4.0548    0.9698    0.4349
    0.7369    4.0574    0.9677    0.4356
    0.9006    4.0871    0.9698    0.4334
    1.0644    4.0760    0.9770    0.4219
    1.2281    4.0635    0.9763    0.4173
    1.3919    4.0900    0.9714    0.4246
    1.5556    4.0456    0.9730    0.4150
    1.7194    4.0416    0.9817    0.4021
    1.8831    4.0721    0.9772    0.4006
    2.0469    4.1021    0.9698    0.4006
    2.2106    4.1074    0.9703    0.4020
    2.3744    4.0603    0.9686    0.3998
    2.5381    4.0863    0.9739    0.4015
    2.7019    4.0866    0.9727    0.4078
    2.8656    4.0634    0.9729    0.4039
    3.0294    4.1298    0.9710    0.3966
    3.1931    4.1148    0.9720    0.3888
    3.3569    4.0898    0.9808    0.3828
    3.5206    4.1355    0.9802    0.3834
    3.6844    4.1170    0.9675    0.3869
    3.8481    4.0683    0.9733    0.3918
    4.0119    4.1081    0.9703    0.3806
    4.1756    4.1273    0.9702    0.3787
    4.3394    4.1421    0.9715    0.3800
    4.5031    4.1261    0.9778    0.3761
    4.6669    4.0645    0.9758    0.3723
    4.8306    4.0707    0.9738    0.3692
    4.9944    4.0815    0.9728    0.3625
    5.1581    4.1213    0.9706    0.3533
    5.3219    4.1271    0.9764    0.3349
    5.4856    4.0809    0.9792    0.3329
    5.6494    4.0747    0.9801    0.3354
    5.8131    4.1081    0.9748    0.3289
    5.9769    4.1392    0.9744    0.3256
    6.1406    4.1652    0.9651    0.3212
    6.3044    4.1320    0.9680    0.3200
    6.4681    4.1303    0.9698    0.3205
    6.6319    4.1338    0.9743    0.3201
    6.7956    4.1720    0.9649    0.3216
    6.9594    4.1798    0.9744    0.3054
    7.1231    4.1231    0.9720    0.2959
    7.2869    4.0653    0.9769    0.2981
    7.4506    4.0828    0.9718    0.2877
    7.6144    4.1036    0.9725    0.2820
    7.7781    4.0884    0.9685    0.2978
    7.9419    4.1109    0.9689    0.2740
    8.1056    4.0650    0.9704    0.2737
    8.2694    4.0928    0.9707    0.2701
    8.4331    4.0825    0.9740    0.2587
    8.5969    4.0990    0.9740    0.2516
    8.7606    4.0792    0.9754    0.2582
    8.9244    4.0373    0.9802    0.2507
    9.0881    4.0455    0.9733    0.2280
    9.2519    4.0651    0.9803    0.2250
    9.4156    4.1269    0.9764    0.2201
    9.5794    4.0650    0.9771    0.2132
    9.7431    4.1007    0.9718    0.2076
    9.9069    4.0689    0.9745    0.1987
   10.0706    4.0568    0.9757    0.1920
   10.2344    4.1449    0.9699    0.1877
   10.3981    4.0849    0.9730    0.1800
   10.5619    4.0471    0.9716    0.1700
   10.7256    4.0723    0.9691    0.1729
   10.8894    4.0403    0.9778    0.1541
   11.0531    4.0497    0.9777    0.1520
   11.2169    4.0296    0.9727    0.1432
   11.3806    3.9942    0.9744    0.1473
   11.5444    4.0184    0.9693    0.1297
   11.7081    4.0246    0.9729    0.1144
   11.8719    3.9488    0.9815    0.1089
   12.0356    3.9708    0.9809    0.1068
   12.1994    4.0341    0.9718    0.0906
   12.3631    4.0087    0.9760    0.0948
   12.5269    4.0299    0.9712    0.0798
   12.6906    3.9619    0.9734    0.0698
   12.8544    3.9674    0.9767    0.0625
   13.0181    3.9826    0.9805    0.0623
   13.1819    4.0358    0.9757    0.0633
   13.3456    3.9534    0.9753    0.0588
   13.5094    3.9767    0.9677    0.0551
   13.6731    4.0605    0.9670    0.0434
   13.8369    4.0927    0.9705    0.0377
   14.0006    3.9348    0.9686    0.0311
   14.1644    3.7407    0.9728    0.0331
   14.3281    3.9202    0.9754    0.0180
   14.4919    4.4708    0.9632    0.0155
   14.6556    4.4166    0.9733    0.0080
   14.8194    3.7595    0.9713   -0.0055
   14.9831    2.0261    0.9633    0.0076
   15.1469    0.5687    1.0080    0.0065
   15.3106    0.0003    0.9784   -0.4114
   15.4744         0         0         0
   15.6381         0         0         0
   15.8019         0         0         0
   15.9656         0         0         0
   16.1294         0         0         0
   16.2931         0         0         0
