    x1         y1        x2       y2        x3       y3        x4       y4        x5       y5        x6       y6        x7       y7        x8       y8        x9       y9        x10       y10        x11       y11        x12       y12
  -50.0000   -6.0000  -29.8467   -5.1683  -20.2347   -2.7557  -15.6294   -2.7498  -11.0524   -2.7446   -3.9146   -2.7658    8.9746   -2.7263   23.3044   -2.8410   29.1198   -4.1361   33.3405   -3.5751   37.7562   -3.3461   50.0000   -6.0000
  -49.5045   -5.9795  -29.4355   -4.9424  -19.6411   -2.7981  -15.0078   -2.7598  -10.3930   -2.7849   -3.3585   -2.7760    9.5757   -2.7591   23.9608   -2.8873   29.6187   -3.9131   33.6617   -3.1934   38.0752   -3.0230   49.5045   -5.9795
  -49.0124   -5.9182  -28.9946   -4.6649  -19.0428   -2.7971  -14.4391   -2.7759   -9.8076   -2.7736   -2.7645   -2.7522   10.0917   -2.7142   24.6144   -2.9024   30.1514   -3.5785   33.9884   -2.8034   38.4002   -2.5957   49.0124   -5.9182
  -48.5271   -5.8164  -28.5976   -4.3585  -18.4554   -2.7800  -13.8240   -2.7516   -9.2246   -2.7134   -2.0605   -2.7590   10.7401   -2.7443   25.1801   -2.8304   30.5599   -3.2180   34.2018   -2.4561   38.6477   -2.2210   48.5271   -5.8164
  -48.0518   -5.6749  -28.1652   -4.0196  -17.8788   -2.7370  -13.1603   -2.7005   -8.6979   -2.5212   -1.3847   -2.7220   11.3434   -2.7513   25.8114   -2.6561   30.9392   -2.8285   34.3894   -2.0935   38.9118   -1.8137   48.0518   -5.6749
  -47.5898   -5.4946  -27.7896   -3.7061  -17.1899   -2.6088  -12.5402   -2.5788   -8.2436   -2.2448   -0.7291   -2.7052   11.9506   -2.6552   26.3215   -2.4304   31.2979   -2.3396   34.6291   -1.6608   39.1184   -1.4400   47.5898   -5.4946
  -47.1443   -5.2768  -27.4810   -3.3774  -16.7393   -2.4758  -11.9907   -2.4075   -7.7970   -1.8109   -0.1384   -2.5782   12.4197   -2.4505   26.8262   -2.0997   31.6404   -1.8446   34.8426   -1.2285   39.3018   -1.0124   47.1443   -5.2768
  -46.7183   -5.0230  -27.0939   -3.0204  -16.2223   -2.2228  -11.5676   -2.1340   -7.4417   -1.3043    0.4164   -2.3628   12.8944   -2.1430   27.2920   -1.6485   31.9254   -1.3093   34.9955   -0.7715   39.4177   -0.5631   46.7183   -5.0230
  -46.3147   -4.7348  -26.7054   -2.6885  -15.7728   -1.8833  -11.1090   -1.7166   -7.1461   -0.7398    0.9437   -2.0736   13.3665   -1.7643   27.6617   -1.2675   32.0969   -0.7740   35.1104   -0.2853   39.4974   -0.0094   46.3147   -4.7348
  -45.9363   -4.4143  -26.4514   -2.2196  -15.3386   -1.4422  -10.7223   -1.2763   -7.0402   -0.1709    1.3777   -1.6548   13.7662   -1.2622   27.9532   -0.7284   32.2589   -0.1076   35.1500    0.1974   39.5402    0.5034   45.9363   -4.4143
  -45.5857   -4.0637  -26.3024   -1.7919  -14.9981   -0.8988  -10.4774   -0.7845   -7.0799    0.3563    1.6993   -1.2248   14.0247   -0.7240   28.0862   -0.1426   32.2909    0.4657   35.1509    0.7895   39.5205    0.9132   45.5857   -4.0637
  -45.2652   -3.6853  -26.1679   -1.3424  -14.8225   -0.4045  -10.3423   -0.1071   -7.2636    0.8572    1.8947   -0.7047   14.0575   -0.0601   28.0318    0.5190   32.2450    0.9708   35.1351    1.3227   39.4789    1.4368   45.2652   -3.6853
  -44.9770   -3.2817  -26.0511   -0.7702  -14.7671    0.1645  -10.3506    0.3790   -7.5488    1.3759    1.9724   -0.1190   13.9843    0.5227   27.8894    1.0187   32.1149    1.4792   35.0697    1.7168   39.3951    1.9878   44.9770   -3.2817
  -44.7232   -2.8557  -26.0603   -0.1929  -14.8494    0.7596  -10.4788    0.9417   -7.9557    1.8053    1.9148    0.3756   13.7741    1.0672   27.6303    1.6096   31.9129    2.0119   34.9435    2.1203   39.2844    2.3393   44.7232   -2.8557
  -44.5054   -2.4102  -26.1157    0.2916  -15.0545    1.2601  -10.7524    1.4199   -8.4202    2.1467    1.7029    0.9064   13.4297    1.5506   27.3092    2.0825   31.6539    2.5448   34.7647    2.6617   39.1078    2.7292   44.5054   -2.4102
  -44.3251   -1.9482  -26.2195    0.7514  -15.3452    1.7409  -11.1481    1.8230   -8.9693    2.4049    1.4084    1.3664   12.9938    1.9264   26.8845    2.4583   31.3128    3.0857   34.5405    3.0170   38.9675    3.1123   44.3251   -1.9482
  -44.1836   -1.4729  -26.3785    1.1651  -15.7411    2.1218  -11.6842    2.2313   -9.6115    2.6062    1.0471    1.7673   12.4976    2.2756   26.4149    2.8122   30.9761    3.4887   34.3550    3.3952   38.7572    3.5707   44.1836   -1.4729
  -44.0818   -0.9876  -26.5500    1.6333  -16.2251    2.4350  -12.1980    2.4775  -10.2248    2.7117    0.5481    2.2350   11.9586    2.5638   25.7872    3.0495   30.5373    3.8890   34.1302    3.6941   38.5055    4.0336   44.0818   -0.9876
  -44.0205   -0.4955  -26.8323    2.0587  -16.7490    2.6336  -12.7966    2.6653  -10.8670    2.8017    0.0282    2.5451   11.4163    2.6896   25.2512    3.1283   30.0012    4.1940   33.7880    4.0751   38.2293    4.4076   44.0205   -0.4955
  -44.0000         0  -27.1055    2.3937  -17.3466    2.7547  -13.4502    2.7591  -11.4224    2.7797   -0.5162    2.7265   10.8000    2.7356   24.6360    3.1194   29.5053    4.4184   33.4136    4.3620   37.9316    4.7774   44.0000         0
  -44.0205    0.4955  -27.4441    2.7784  -17.9383    2.7658  -14.0653    2.7685  -12.1135    2.7653   -1.1216    2.7515   10.1188    2.7388   24.0841    3.0297   28.9237    4.6130   33.0030    4.6277   37.6006    5.1240   44.0205    0.4955
  -44.0818    0.9876  -27.8168    3.0850  -18.4889    2.7755  -14.7542    2.7578  -12.6796    2.7404   -1.7355    2.7527    9.5458    2.7505   23.4544    2.8699   28.3874    4.7348   32.6824    4.7986   37.2182    5.3918   44.0818    0.9876
  -44.1836    1.4729  -28.2254    3.4711  -19.0844    2.7703  -15.3502    2.7383  -13.3609    2.7378   -2.3539    2.7284    8.9635    2.7785   22.8926    2.7491   27.8289    4.7966   32.2489    5.0104   36.8681    5.6453   44.1836    1.4729
  -44.3251    1.9482  -28.6253    3.8152  -19.5929    2.7593  -15.9515    2.7576  -13.9944    2.7551   -2.9597    2.7324    8.4167    2.7943   22.3309    2.7413   27.2630    4.7709   31.8396    5.1794   36.4681    5.8351   44.3251    1.9482
  -44.5054    2.4102  -29.0124    4.0554  -20.1679    2.7863  -16.5782    2.7758  -14.5709    2.7387   -3.6712    2.7421    7.7886    2.7457   21.8019    2.7550   26.7293    4.6805   31.3662    5.3703   36.0028    6.0037   44.5054    2.4102
  -44.7232    2.8557  -29.4213    4.3026  -20.9485    2.7504  -17.1762    2.7467  -15.2860    2.7482   -4.2460    2.7485    7.1017    2.7080   21.1694    2.7754   26.2379    4.5571   30.9171    5.5166   35.6507    6.1184   44.7232    2.8557
  -44.9770    3.2817  -29.8860    4.5740  -21.5080    2.7368  -17.8117    2.7030  -15.9333    2.7523   -4.8276    2.7923    6.4740    2.7661   20.5538    2.7782   25.6995    4.3571   30.5171    5.5782   35.1173    6.2310   44.9770    3.2817
  -45.2652    3.6853  -30.2783    4.7441  -22.0914    2.7584  -18.4286    2.6737  -16.5851    2.7593   -5.3720    2.7725    5.8348    2.7795   20.0326    2.7562   25.2063    4.0563   29.9076    5.6625   34.7026    6.2404   45.2652    3.6853
