     t        x
         0  -50.0000
    1.8762  -35.0000
    2.0325  -33.6595
    2.1888  -32.3522
    2.3450  -31.0360
    2.5012  -29.9829
    2.6575  -28.9786
    2.8138  -28.4868
    2.9700  -28.1683
    3.1262  -27.9861
    3.2825  -27.8572
    3.4388  -27.7149
    8.5950  -25.3032
    9.0638  -24.7329
    9.2200  -24.2092
    9.3762  -23.5492
    9.5325  -22.6199
    9.6888  -21.4095
    9.8450  -19.5543
   10.0012  -17.6726
   13.5950   24.6252
   13.7512   27.5157
   13.9075   29.6476
   14.0638   30.4665
   14.2200   30.6143
   14.3762   31.4000
   14.5325   32.4054
   14.6888   33.6811
   14.8450   34.9546
   15.0012   36.2611
   15.1575   37.4642
   15.3138   38.6828
   17.1888   50.9932
