    f          w
  200.0000    4.3502
  198.0000    4.3622
  196.0000    4.3746
  194.0000    4.3873
  192.0000    4.4004
  190.0000    4.4138
  188.0000    4.4276
  186.0000    4.4416
  184.0000    4.4560
  182.0000    4.4706
  180.0000    4.4854
  178.0000    4.5006
  176.0000    4.5159
  174.0000    4.5315
  172.0000    4.5474
  170.0000    4.5635
  168.0000    4.5797
  166.0000    4.5962
  164.0000    4.6129
  162.0000    4.6298
  160.0000    4.6469
  158.0000    4.6642
  156.0000    4.6817
  154.0000    4.6994
  152.0000    4.7173
  150.0000    4.7354
  148.0000    4.7537
  146.0000    4.7721
  144.0000    4.7908
  142.0000    4.8097
  140.0000    4.8288
  138.0000    4.8481
  136.0000    4.8676
  134.0000    4.8874
  132.0000    4.9074
  130.0000    4.9276
  128.0000    4.9481
  126.0000    4.9689
  124.0000    4.9899
  122.0000    5.0113
  120.0000    5.0329
  118.0000    5.0548
  116.0000    5.0771
  114.0000    5.0997
  112.0000    5.1227
  110.0000    5.1460
  108.0000    5.1698
  106.0000    5.1939
  104.0000    5.2185
  102.0000    5.2435
  100.0000    5.2690
   98.0000    5.2950
   96.0000    5.3215
   94.0000    5.3485
   92.0000    5.3761
   90.0000    5.4043
   88.0000    5.4330
   86.0000    5.4625
   84.0000    5.4925
   82.0000    5.5233
   80.0000    5.5547
   78.0000    5.5870
   76.0000    5.6199
   74.0000    5.6537
   72.0000    5.6884
   70.0000    5.7239
   68.0000    5.7603
   66.0000    5.7976
   64.0000    5.8359
   62.0000    5.8752
   60.0000    5.9155
   58.0000    5.9569
   56.0000    5.9995
   54.0000    6.0432
   52.0000    6.0880
   50.0000    6.1341
   48.0000    6.1815
   46.0000    6.2302
   44.0000    6.2803
   42.0000    6.3317
   40.0000    6.3846
   38.0000    6.4390
   36.0000    6.4949
   34.0000    6.5524
   32.0000    6.6115
   30.0000    6.6723
   28.0000    6.7348
   26.0000    6.7991
   24.0000    6.8652
   22.0000    6.9332
   20.0000    7.0031
   18.0000    7.0750
   16.0000    7.1489
   14.0000    7.2249
   12.0000    7.3031
   10.0000    7.3834
    8.0000    7.4660
    6.0000    7.5509
    4.0000    7.6381
    2.0000    7.7278
         0    7.8200
         0    7.8200
    2.0000    8.1353
    4.0000    8.4205
    6.0000    8.6801
    8.0000    8.9180
   10.0000    9.1375
   12.0000    9.3417
   14.0000    9.5330
   16.0000    9.7137
   18.0000    9.8856
   20.0000   10.0503
   22.0000   10.2092
   24.0000   10.3632
   26.0000   10.5133
   28.0000   10.6602
   30.0000   10.8044
   32.0000   10.9463
   34.0000   11.0863
   36.0000   11.2245
   38.0000   11.3611
   40.0000   11.4962
   42.0000   11.6297
   44.0000   11.7616
   46.0000   11.8919
   48.0000   12.0204
   50.0000   12.1472
   52.0000   12.2720
   54.0000   12.3948
   56.0000   12.5154
   58.0000   12.6338
   60.0000   12.7499
   62.0000   12.8636
   64.0000   12.9748
   66.0000   13.0835
   68.0000   13.1897
   70.0000   13.2933
   72.0000   13.3943
   74.0000   13.4928
   76.0000   13.5888
   78.0000   13.6823
   80.0000   13.7734
   82.0000   13.8622
   84.0000   13.9487
   86.0000   14.0330
   88.0000   14.1152
   90.0000   14.1954
   92.0000   14.2737
   94.0000   14.3502
   96.0000   14.4250
   98.0000   14.4981
  100.0000   14.5697
  102.0000   14.6399
  104.0000   14.7086
  106.0000   14.7761
  108.0000   14.8424
  110.0000   14.9074
  112.0000   14.9714
  114.0000   15.0342
  116.0000   15.0960
  118.0000   15.1567
  120.0000   15.2165
  122.0000   15.2751
  124.0000   15.3328
  126.0000   15.3895
  128.0000   15.4451
  130.0000   15.4996
  132.0000   15.5531
  134.0000   15.6055
  136.0000   15.6567
  138.0000   15.7069
  140.0000   15.7559
  142.0000   15.8038
  144.0000   15.8505
  146.0000   15.8960
  148.0000   15.9405
  150.0000   15.9838
  152.0000   16.0261
  154.0000   16.0674
  156.0000   16.1076
  158.0000   16.1471
  160.0000   16.1857
  162.0000   16.2235
  164.0000   16.2608
  166.0000   16.2976
  168.0000   16.3339
  170.0000   16.3700
  172.0000   16.4059
  174.0000   16.4417
  176.0000   16.4776
  178.0000   16.5134
  180.0000   16.5494
  182.0000   16.5855
  184.0000   16.6216
  186.0000   16.6576
  188.0000   16.6933
  190.0000   16.7285
  192.0000   16.7627
  194.0000   16.7954
  196.0000   16.8260
  198.0000   16.8536
  200.0000   16.8773
