    x         y
  199.9960   15.4339
  197.1060   15.4139
  189.5911   15.3387
  184.3886   15.1131
  180.3424   14.7372
  173.9838   14.7372
  168.7813   14.5868
  162.4240   14.2861
  153.1753   14.0604
  147.9729   13.7596
  142.7704   13.5341
  136.9906   13.3837
  131.7881   13.3085
  126.0082   13.0078
  121.9607   12.6318
  119.0707   12.5566
  113.2908   12.5566
  108.6672   12.4814
  104.0422   12.1055
   98.8398   11.9550
   93.6373   11.8048
   88.4349   11.7296
   84.3887   11.4287
   80.3425   11.2783
   73.4064   11.2033
   69.3602   10.9776
   64.1577   10.6016
   58.3778   10.5265
   52.5979   10.4513
   48.5517   10.2257
   43.9268    9.9250
   39.3031    9.7746
   34.1007    9.7746
   28.8982    9.3986
   23.6958    9.1731
   19.0721    9.1731
   14.4472    8.9474
   10.9797    8.7220
    5.7773    8.1955
   -0.0039    7.9700
   -0.0039    7.9700
    5.7773    8.0452
   10.4010    7.8948
   14.4472    7.5940
   19.6496    7.4437
   35.8344    7.4437
   42.7705    7.2933
   47.9730    6.9173
   54.9091    6.8422
   60.6903    6.8422
   67.6265    6.9173
   72.8289    6.6166
   77.4526    6.4662
   84.3887    6.3910
   90.7474    6.4662
   97.1061    6.4662
  100.5735    6.0903
  105.7759    5.9398
  111.5571    5.7894
  115.6033    5.8646
  119.0707    6.0903
  123.6944    5.8646
  128.3194    5.8646
  132.9444    5.5638
  137.5680    5.4887
  143.3492    5.6390
  149.7066    5.6390
  154.9090    5.4887
  159.5340    5.2631
  165.8914    5.2631
  171.0938    5.4135
  176.2962    5.2631
  180.9212    4.9623
  186.7011    4.8872
  191.3248    5.0375
  195.3723    4.9623
  199.9960    4.8120
