    x1        y1        z1         x2         y2       z2
   -3.9071    0.0877    0.0082   -7.2233    0.0238    0.0731
   -3.8763   -0.4616    0.0729   -6.9465   -0.4851    0.1504
   -3.8164    0.4925    0.4037   -6.6686    0.3601    0.4086
   -3.7959   -0.0749    0.4926   -6.6206   -0.1375    0.4531
   -3.7593   -1.0121    0.1405   -6.3314   -0.8649    0.1819
   -3.7521    1.0107    0.2428   -6.2671    0.7349    0.2612
    3.7237    1.1203    0.2405    5.9882    0.7853    0.3610
    3.8516   -0.5936    0.2071    6.5601   -0.6185    0.3795
    3.8544    0.5304    0.2565    6.5702    0.3542    0.4388
    3.8707   -0.0144    0.2737    6.7649   -0.1515    0.4402
    3.8853   -0.1963   -0.1524    7.1557   -0.3295    0.0416
   -3.8580    0.6207   -0.1411    6.6065   -0.2281   -0.3150
   -3.8222   -0.2497   -0.4494    6.3334   -0.8941   -0.0187
    3.8592    0.3128   -0.2974    6.6722   -0.6572   -0.1881
    3.7420   -0.1438   -0.6263    6.4362    0.5466   -0.0222
    3.7616   -0.9816   -0.1911    6.8350    0.1822   -0.1097
    3.7971   -0.6204   -0.3978   -6.4247   -0.7015   -0.2696
    3.7995    0.7991   -0.2075   -6.6873    0.1236   -0.3610
   -3.7676   -0.7910   -0.3738   -6.7615    0.4731   -0.1158
   -3.7998    0.2355   -0.4789   -6.7181   -0.2703   -0.3183

