      z        v100      v200      v400       v800       v2000
 -15.0000         0         0         0         0         0
  -14.7000    0.1268    0.1802    0.2469    0.3040    0.3284
  -14.4000    0.2472    0.3539    0.4873    0.6014    0.6501
  -14.1000    0.3614    0.5212    0.7212    0.8923    0.9652
  -13.8000    0.4696    0.6823    0.9487    1.1765    1.2736
  -13.5000    0.5719    0.8374    1.1698    1.4542    1.5754
  -13.2000    0.6687    0.9865    1.3847    1.7253    1.8705
  -12.9000    0.7602    1.1299    1.5935    1.9900    2.1590
  -12.6000    0.8465    1.2677    1.7961    2.2482    2.4409
  -12.3000    0.9278    1.4000    1.9928    2.4999    2.7161
  -12.0000    1.0044    1.5269    2.1835    2.7452    2.9847
  -11.7000    1.0765    1.6487    2.3684    2.9841    3.2466
  -11.4000    1.1442    1.7654    2.5475    3.2166    3.5019
  -11.1000    1.2077    1.8772    2.7209    3.4428    3.7506
  -10.8000    1.2673    1.9842    2.8886    3.6626    3.9926
  -10.5000    1.3231    2.0866    3.0509    3.8761    4.2279
  -10.2000    1.3753    2.1844    3.2076    4.0834    4.4567
   -9.9000    1.4240    2.2779    3.3590    4.2843    4.6788
   -9.6000    1.4696    2.3671    3.5050    4.4790    4.8942
   -9.3000    1.5120    2.4522    3.6457    4.6675    5.1031
   -9.0000    1.5515    2.5333    3.7813    4.8498    5.3052
   -8.7000    1.5883    2.6105    3.9117    5.0259    5.5008
   -8.4000    1.6224    2.6839    4.0371    5.1958    5.6897
   -8.1000    1.6541    2.7537    4.1574    5.3595    5.8720
   -7.8000    1.6834    2.8199    4.2728    5.5172    6.0476
   -7.5000    1.7106    2.8827    4.3833    5.6687    6.2167
   -7.2000    1.7356    2.9421    4.4891    5.8142    6.3790
   -6.9000    1.7588    2.9983    4.5900    5.9535    6.5348
   -6.6000    1.7801    3.0514    4.6862    6.0869    6.6839
   -6.3000    1.7997    3.1015    4.7778    6.2141    6.8264
   -6.0000    1.8177    3.1485    4.8647    6.3354    6.9623
   -5.7000    1.8342    3.1928    4.9471    6.4506    7.0915
   -5.4000    1.8493    3.2342    5.0250    6.5598    7.2141
   -5.1000    1.8631    3.2730    5.0984    6.6631    7.3301
   -4.8000    1.8757    3.3091    5.1674    6.7604    7.4394
   -4.5000    1.8871    3.3427    5.2320    6.8517    7.5421
   -4.2000    1.8974    3.3737    5.2923    6.9371    7.6382
   -3.9000    1.9068    3.4024    5.3482    7.0165    7.7277
   -3.6000    1.9151    3.4287    5.3999    7.0900    7.8105
   -3.3000    1.9226    3.4527    5.4473    7.1576    7.8867
   -3.0000    1.9293    3.4744    5.4905    7.2193    7.9563
   -2.7000    1.9352    3.4939    5.5295    7.2751    8.0192
   -2.4000    1.9404    3.5113    5.5643    7.3250    8.0756
   -2.1000    1.9448    3.5265    5.5950    7.3690    8.1253
   -1.8000    1.9486    3.5396    5.6216    7.4072    8.1683
   -1.5000    1.9518    3.5507    5.6440    7.4394    8.2048
   -1.2000    1.9543    3.5597    5.6623    7.4658    8.2346
   -0.9000    1.9563    3.5667    5.6766    7.4863    8.2578
   -0.6000    1.9577    3.5717    5.6868    7.5010    8.2743
   -0.3000    1.9585    3.5747    5.6929    7.5098    8.2843
         0    1.9588    3.5757    5.6949    7.5127    8.2876
    0.3000    1.9585    3.5747    5.6929    7.5098    8.2843
    0.6000    1.9577    3.5717    5.6868    7.5010    8.2743
    0.9000    1.9563    3.5667    5.6766    7.4863    8.2578
    1.2000    1.9543    3.5597    5.6623    7.4658    8.2346
    1.5000    1.9518    3.5507    5.6440    7.4394    8.2048
    1.8000    1.9486    3.5396    5.6216    7.4072    8.1683
    2.1000    1.9448    3.5265    5.5950    7.3690    8.1253
    2.4000    1.9404    3.5113    5.5643    7.3250    8.0756
    2.7000    1.9352    3.4939    5.5295    7.2751    8.0192
    3.0000    1.9293    3.4744    5.4905    7.2193    7.9563
    3.3000    1.9226    3.4527    5.4473    7.1576    7.8867
    3.6000    1.9151    3.4287    5.3999    7.0900    7.8105
    3.9000    1.9068    3.4024    5.3482    7.0165    7.7277
    4.2000    1.8974    3.3737    5.2923    6.9371    7.6382
    4.5000    1.8871    3.3427    5.2320    6.8517    7.5421
    4.8000    1.8757    3.3091    5.1674    6.7604    7.4394
    5.1000    1.8631    3.2730    5.0984    6.6631    7.3301
    5.4000    1.8493    3.2342    5.0250    6.5598    7.2141
    5.7000    1.8342    3.1928    4.9471    6.4506    7.0915
    6.0000    1.8177    3.1485    4.8647    6.3354    6.9623
    6.3000    1.7997    3.1015    4.7778    6.2141    6.8264
    6.6000    1.7801    3.0514    4.6862    6.0869    6.6839
    6.9000    1.7588    2.9983    4.5900    5.9535    6.5348
    7.2000    1.7356    2.9421    4.4891    5.8142    6.3790
    7.5000    1.7106    2.8827    4.3833    5.6687    6.2167
    7.8000    1.6834    2.8199    4.2728    5.5172    6.0476
    8.1000    1.6541    2.7537    4.1574    5.3595    5.8720
    8.4000    1.6224    2.6839    4.0371    5.1958    5.6897
    8.7000    1.5883    2.6105    3.9117    5.0259    5.5008
    9.0000    1.5515    2.5333    3.7813    4.8498    5.3052
    9.3000    1.5120    2.4522    3.6457    4.6675    5.1031
    9.6000    1.4696    2.3671    3.5050    4.4790    4.8942
    9.9000    1.4240    2.2779    3.3590    4.2843    4.6788
   10.2000    1.3753    2.1844    3.2076    4.0834    4.4567
   10.5000    1.3231    2.0866    3.0509    3.8761    4.2279
   10.8000    1.2673    1.9842    2.8886    3.6626    3.9926
   11.1000    1.2077    1.8772    2.7209    3.4428    3.7506
   11.4000    1.1442    1.7654    2.5475    3.2166    3.5019
   11.7000    1.0765    1.6487    2.3684    2.9841    3.2466
   12.0000    1.0044    1.5269    2.1835    2.7452    2.9847
   12.3000    0.9278    1.4000    1.9928    2.4999    2.7161
   12.6000    0.8465    1.2677    1.7961    2.2482    2.4409
