    z          v100      v200      v400     v800       v2000 
  -14.7000    0.1217    0.1742    0.2448    0.2933    0.3464
  -14.1000    0.3774    0.5292    0.7058    0.8605    0.9382
  -13.5000    0.5983    0.8883    1.1549    1.4110    1.5590
  -12.9000    0.7511    1.1680    1.6242    1.9880    2.1302
  -12.3000    0.9427    1.3992    2.0192    2.4802    2.6790
  -11.7000    1.0605    1.6760    2.3741    2.9765    3.2619
  -11.1000    1.1889    1.8773    2.7279    3.4377    3.7206
  -10.5000    1.3022    2.0911    3.0649    3.8542    4.1904
   -9.9000    1.4235    2.2791    3.3811    4.2614    4.6735
   -9.3000    1.5112    2.4311    3.6165    4.6396    5.0987
   -8.7000    1.5826    2.5827    3.9056    5.0231    5.5024
   -8.1000    1.6621    2.7324    4.1684    5.3566    5.8380
   -7.5000    1.7368    2.8540    4.3988    5.6695    6.1648
   -6.9000    1.7430    3.0115    4.5997    5.9557    6.4886
   -6.3000    1.7901    3.1074    4.7609    6.2128    6.7889
   -5.7000    1.8280    3.1964    4.9398    6.4059    7.0465
   -5.1000    1.8686    3.2726    5.1114    6.6409    7.2791
   -4.5000    1.8669    3.3526    5.2509    6.8205    7.4772
   -3.9000    1.9157    3.3990    5.3324    6.9640    7.6941
   -3.3000    1.9183    3.4387    5.4506    7.1477    7.8423
   -2.7000    1.9173    3.4624    5.5373    7.2845    7.9780
   -2.1000    1.9273    3.5047    5.5819    7.3711    8.0715
   -1.5000    1.9038    3.5402    5.6317    7.4495    8.1547
   -0.9000    1.9511    3.5479    5.6639    7.4476    8.1998
   -0.3000    1.9412    3.5348    5.7245    7.5081    8.2298
    0.3000    1.9412    3.5348    5.7245    7.5081    8.2298
    0.9000    1.9511    3.5479    5.6639    7.4476    8.1998
    1.5000    1.9038    3.5402    5.6317    7.4495    8.1547
    2.1000    1.9273    3.5047    5.5819    7.3711    8.0715
    2.7000    1.9173    3.4624    5.5373    7.2845    7.9780
    3.3000    1.9183    3.4387    5.4506    7.1477    7.8423
    3.9000    1.9157    3.3990    5.3324    6.9640    7.6941
    4.5000    1.8669    3.3526    5.2509    6.8205    7.4772
    5.1000    1.8686    3.2726    5.1114    6.6409    7.2791
    5.7000    1.8280    3.1964    4.9398    6.4059    7.0465
    6.3000    1.7901    3.1074    4.7609    6.2128    6.7889
    6.9000    1.7430    3.0115    4.5997    5.9557    6.4886
    7.5000    1.7368    2.8540    4.3988    5.6695    6.1648
    8.1000    1.6621    2.7324    4.1684    5.3566    5.8380
    8.7000    1.5826    2.5827    3.9056    5.0231    5.5024
    9.3000    1.5112    2.4311    3.6165    4.6396    5.0987
    9.9000    1.4235    2.2791    3.3811    4.2614    4.6735
   10.5000    1.3022    2.0911    3.0649    3.8542    4.1904
   11.1000    1.1889    1.8773    2.7279    3.4377    3.7206
   11.7000    1.0605    1.6760    2.3741    2.9765    3.2619
   12.3000    0.9427    1.3992    2.0192    2.4802    2.6790
   12.9000    0.7511    1.1680    1.6242    1.9880    2.1302
   13.5000    0.5983    0.8883    1.1549    1.4110    1.5590
   14.1000    0.3774    0.5292    0.7058    0.8605    0.9382
   14.7000    0.1217    0.1742    0.2448    0.2933    0.3464
