   wx        wz
  -29.7524  -15.2500
  -29.2572  -15.2500
  -28.7620  -15.2500
  -28.2668  -15.2500
  -27.7716  -15.2500
  -27.2764  -15.2500
  -26.7812  -15.2500
  -26.2860  -15.2500
  -25.7908  -15.2500
  -25.2956  -15.2500
  -24.8004  -15.2500
  -24.3052  -15.2500
  -23.8100  -15.2500
  -23.3148  -15.2500
  -22.8196  -15.2500
  -22.3244  -15.2500
  -21.8292  -15.2500
  -21.3340  -15.2500
  -20.8388  -15.2500
  -20.3436  -15.2500
  -19.8484  -15.2500
  -19.3532  -15.2500
  -18.8580  -15.2500
  -18.3628  -15.2500
  -17.8676  -15.2500
  -17.3724  -15.2500
  -16.8772  -15.2500
  -16.3820  -15.2500
  -15.8868  -15.2500
  -15.3917  -15.2500
  -14.8964  -15.2500
  -14.5393  -14.8929
  -14.1822  -14.5357
  -13.8250  -14.1786
  -13.4679  -13.8214
  -13.1107  -13.4643
  -12.7536  -13.1071
  -12.3964  -12.7500
  -12.0393  -12.3929
  -11.6822  -12.0357
  -11.3250  -11.6786
  -10.9679  -11.3214
  -10.6107  -10.9643
  -10.2536  -10.6071
   -9.8964  -10.2500
   -9.5393   -9.8929
   -9.1822   -9.5357
   -8.8250   -9.1786
   -8.4679   -8.8214
   -8.1107   -8.4643
   -7.7536   -8.1071
   -7.3964   -7.7500
   -7.0393   -7.3929
   -6.6822   -7.0357
   -6.3250   -6.6786
   -5.9679   -6.3214
   -5.6107   -5.9643
   -5.2536   -5.6071
   -4.8964   -5.2500
   -4.3524   -5.2500
   -3.8083   -5.2500
   -3.2643   -5.2500
   -2.7203   -5.2500
   -2.1762   -5.2500
   -1.6321   -5.2500
   -1.0881   -5.2500
   -0.5441   -5.2500
         0   -5.2500
    0.5441   -5.2500
    1.0881   -5.2500
    1.6321   -5.2500
    2.1762   -5.2500
    2.7203   -5.2500
    3.2643   -5.2500
    3.8083   -5.2500
    4.3524   -5.2500
    4.8964   -5.2500
    5.2536   -5.6071
    5.6107   -5.9643
    5.9679   -6.3214
    6.3250   -6.6786
    6.6822   -7.0357
    7.0393   -7.3929
    7.3964   -7.7500
    7.7536   -8.1071
    8.1107   -8.4643
    8.4679   -8.8214
    8.8250   -9.1786
    9.1822   -9.5357
    9.5393   -9.8929
    9.8964  -10.2500
   10.2536  -10.6071
   10.6107  -10.9643
   10.9679  -11.3214
   11.3250  -11.6786
   11.6822  -12.0357
   12.0393  -12.3929
   12.3964  -12.7500
   12.7536  -13.1071
   13.1107  -13.4643
   13.4679  -13.8214
   13.8250  -14.1786
   14.1822  -14.5357
   14.5393  -14.8929
   14.8964  -15.2500
   15.3759  -15.2500
   15.8554  -15.2500
   16.3349  -15.2500
   16.8144  -15.2500
   17.2938  -15.2500
   17.7733  -15.2500
   18.2528  -15.2500
   18.7323  -15.2500
   19.2117  -15.2500
   19.6912  -15.2500
   20.1707  -15.2500
   20.6502  -15.2500
   21.1297  -15.2500
   21.6091  -15.2500
   22.0886  -15.2500
   22.5681  -15.2500
   23.0476  -15.2500
   23.5270  -15.2500
   24.0065  -15.2500
   24.4860  -15.2500
   24.9655  -15.2500
   25.4450  -15.2500
   25.9244  -15.2500
   26.4039  -15.2500
   26.8834  -15.2500
   27.3629  -15.2500
   27.8423  -15.2500
   28.3218  -15.2500
   28.8013  -15.2500
   29.2808  -15.2500
   29.7603  -15.2500
  -29.7524   15.2500
  -29.2572   15.2500
  -28.7620   15.2500
  -28.2668   15.2500
  -27.7716   15.2500
  -27.2764   15.2500
  -26.7812   15.2500
  -26.2860   15.2500
  -25.7908   15.2500
  -25.2956   15.2500
  -24.8004   15.2500
  -24.3052   15.2500
  -23.8100   15.2500
  -23.3148   15.2500
  -22.8196   15.2500
  -22.3244   15.2500
  -21.8292   15.2500
  -21.3340   15.2500
  -20.8388   15.2500
  -20.3436   15.2500
  -19.8484   15.2500
  -19.3532   15.2500
  -18.8580   15.2500
  -18.3628   15.2500
  -17.8676   15.2500
  -17.3724   15.2500
  -16.8772   15.2500
  -16.3820   15.2500
  -15.8868   15.2500
  -15.3917   15.2500
  -14.8964   15.2500
  -14.5393   14.8929
  -14.1822   14.5357
  -13.8250   14.1786
  -13.4679   13.8214
  -13.1107   13.4643
  -12.7536   13.1071
  -12.3964   12.7500
  -12.0393   12.3929
  -11.6822   12.0357
  -11.3250   11.6786
  -10.9679   11.3214
  -10.6107   10.9643
  -10.2536   10.6071
   -9.8964   10.2500
   -9.5393    9.8929
   -9.1822    9.5357
   -8.8250    9.1786
   -8.4679    8.8214
   -8.1107    8.4643
   -7.7536    8.1071
   -7.3964    7.7500
   -7.0393    7.3929
   -6.6822    7.0357
   -6.3250    6.6786
   -5.9679    6.3214
   -5.6107    5.9643
   -5.2536    5.6071
   -4.8964    5.2500
   -4.3524    5.2500
   -3.8083    5.2500
   -3.2643    5.2500
   -2.7203    5.2500
   -2.1762    5.2500
   -1.6321    5.2500
   -1.0881    5.2500
   -0.5441    5.2500
         0    5.2500
    0.5441    5.2500
    1.0881    5.2500
    1.6321    5.2500
    2.1762    5.2500
    2.7203    5.2500
    3.2643    5.2500
    3.8083    5.2500
    4.3524    5.2500
    4.8964    5.2500
    5.2536    5.6071
    5.6107    5.9643
    5.9679    6.3214
    6.3250    6.6786
    6.6822    7.0357
    7.0393    7.3929
    7.3964    7.7500
    7.7536    8.1071
    8.1107    8.4643
    8.4679    8.8214
    8.8250    9.1786
    9.1822    9.5357
    9.5393    9.8929
    9.8964   10.2500
   10.2536   10.6071
   10.6107   10.9643
   10.9679   11.3214
   11.3250   11.6786
   11.6822   12.0357
   12.0393   12.3929
   12.3964   12.7500
   12.7536   13.1071
   13.1107   13.4643
   13.4679   13.8214
   13.8250   14.1786
   14.1822   14.5357
   14.5393   14.8929
   14.8964   15.2500
   15.3759   15.2500
   15.8554   15.2500
   16.3349   15.2500
   16.8144   15.2500
   17.2938   15.2500
   17.7733   15.2500
   18.2528   15.2500
   18.7323   15.2500
   19.2117   15.2500
   19.6912   15.2500
   20.1707   15.2500
   20.6502   15.2500
   21.1297   15.2500
   21.6091   15.2500
   22.0886   15.2500
   22.5681   15.2500
   23.0476   15.2500
   23.5270   15.2500
   24.0065   15.2500
   24.4860   15.2500
   24.9655   15.2500
   25.4450   15.2500
   25.9244   15.2500
   26.4039   15.2500
   26.8834   15.2500
   27.3629   15.2500
   27.8423   15.2500
   28.3218   15.2500
   28.8013   15.2500
   29.2808   15.2500
   29.7603   15.2500
  -29.2709  -15.7500
  -28.7849  -15.7500
  -29.7570  -15.7500
  -28.2988  -15.7500
  -27.8128  -15.7500
  -27.3267  -15.7500
  -26.8407  -15.7500
  -26.3546  -15.7500
  -25.8685  -15.7500
  -25.3825  -15.7500
  -24.8965  -15.7500
  -24.4104  -15.7500
  -23.9243  -15.7500
  -23.4383  -15.7500
  -22.9522  -15.7500
  -22.4662  -15.7500
  -21.9801  -15.7500
  -21.4941  -15.7500
  -21.0080  -15.7500
  -20.5220  -15.7500
  -20.0359  -15.7500
  -19.5499  -15.7500
  -19.0638  -15.7500
  -18.5778  -15.7500
  -18.0917  -15.7500
  -17.6057  -15.7500
  -17.1196  -15.7500
  -16.6335  -15.7500
  -16.1475  -15.7500
  -15.6615  -15.7500
  -15.1754  -15.7500
  -14.6893  -15.7500
  -14.3322  -15.3929
  -13.9750  -15.0357
  -13.6179  -14.6786
  -13.2608  -14.3214
  -12.9036  -13.9643
  -12.5465  -13.6071
  -12.1893  -13.2500
  -11.8322  -12.8929
  -11.4750  -12.5357
  -11.1179  -12.1786
  -10.7608  -11.8214
  -10.4036  -11.4643
  -10.0465  -11.1071
   -9.6893  -10.7500
   -9.3322  -10.3929
   -8.9750  -10.0357
   -8.6179   -9.6786
   -8.2608   -9.3214
   -7.9036   -8.9643
   -7.5465   -8.6071
   -7.1893   -8.2500
   -6.8322   -7.8929
   -6.4751   -7.5357
   -6.1179   -7.1786
   -5.7608   -6.8214
   -5.4036   -6.4643
   -5.0465   -6.1071
   -4.6893   -5.7500
   -4.1683   -5.7500
   -3.6473   -5.7500
   -3.1262   -5.7500
   -2.6052   -5.7500
   -2.0842   -5.7500
   -1.5631   -5.7500
   -1.0421   -5.7500
   -0.5210   -5.7500
         0   -5.7500
    0.5210   -5.7500
    1.0421   -5.7500
    1.5631   -5.7500
    2.0842   -5.7500
    2.6052   -5.7500
    3.1262   -5.7500
    3.6473   -5.7500
    4.1683   -5.7500
    4.6893   -5.7500
    5.0465   -6.1071
    5.4036   -6.4643
    5.7608   -6.8214
    6.1179   -7.1786
    6.4751   -7.5357
    6.8322   -7.8929
    7.1893   -8.2500
    7.5465   -8.6071
    7.9036   -8.9643
    8.2608   -9.3214
    8.6179   -9.6786
    8.9750  -10.0357
    9.3322  -10.3929
    9.6893  -10.7500
   10.0465  -11.1071
   10.4036  -11.4643
   10.7608  -11.8214
   11.1179  -12.1786
   11.4750  -12.5357
   11.8322  -12.8929
   12.1893  -13.2500
   12.5465  -13.6071
   12.9036  -13.9643
   13.2608  -14.3214
   13.6179  -14.6786
   13.9750  -15.0357
   14.3322  -15.3929
   14.6893  -15.7500
   15.1913  -15.7500
   15.6933  -15.7500
   16.1953  -15.7500
   16.6973  -15.7500
   17.1993  -15.7500
   17.7013  -15.7500
   18.2033  -15.7500
   18.7052  -15.7500
   19.2072  -15.7500
   19.7092  -15.7500
   20.2112  -15.7500
   20.7132  -15.7500
