  f            w
  200.0000    4.5063
  198.0000    4.5180
  196.0000    4.5302
  194.0000    4.5429
  192.0000    4.5561
  190.0000    4.5697
  188.0000    4.5836
  186.0000    4.5978
  184.0000    4.6123
  182.0000    4.6271
  180.0000    4.6420
  178.0000    4.6571
  176.0000    4.6724
  174.0000    4.6878
  172.0000    4.7033
  170.0000    4.7189
  168.0000    4.7345
  166.0000    4.7502
  164.0000    4.7660
  162.0000    4.7817
  160.0000    4.7975
  158.0000    4.8133
  156.0000    4.8291
  154.0000    4.8450
  152.0000    4.8608
  150.0000    4.8767
  148.0000    4.8926
  146.0000    4.9085
  144.0000    4.9244
  142.0000    4.9404
  140.0000    4.9565
  138.0000    4.9726
  136.0000    4.9888
  134.0000    5.0052
  132.0000    5.0216
  130.0000    5.0382
  128.0000    5.0550
  126.0000    5.0719
  124.0000    5.0890
  122.0000    5.1064
  120.0000    5.1241
  118.0000    5.1420
  116.0000    5.1602
  114.0000    5.1788
  112.0000    5.1977
  110.0000    5.2171
  108.0000    5.2369
  106.0000    5.2571
  104.0000    5.2779
  102.0000    5.2991
  100.0000    5.3210
   98.0000    5.3434
   96.0000    5.3664
   94.0000    5.3901
   92.0000    5.4146
   90.0000    5.4397
   88.0000    5.4656
   86.0000    5.4923
   84.0000    5.5199
   82.0000    5.5483
   80.0000    5.5776
   78.0000    5.6079
   76.0000    5.6392
   74.0000    5.6714
   72.0000    5.7047
   70.0000    5.7391
   68.0000    5.7746
   66.0000    5.8112
   64.0000    5.8491
   62.0000    5.8881
   60.0000    5.9283
   58.0000    5.9699
   56.0000    6.0127
   54.0000    6.0569
   52.0000    6.1024
   50.0000    6.1492
   48.0000    6.1975
   46.0000    6.2473
   44.0000    6.2984
   42.0000    6.3511
   40.0000    6.4052
   38.0000    6.4609
   36.0000    6.5181
   34.0000    6.5768
   32.0000    6.6371
   30.0000    6.6990
   28.0000    6.7624
   26.0000    6.8275
   24.0000    6.8942
   22.0000    6.9625
   20.0000    7.0324
   18.0000    7.1039
   16.0000    7.1770
   14.0000    7.2518
   12.0000    7.3282
   10.0000    7.4062
    8.0000    7.4858
    6.0000    7.5670
    4.0000    7.6498
    2.0000    7.7341
         0    7.8200
         0    7.8200
    2.0000    8.1122
    4.0000    8.3807
    6.0000    8.6287
    8.0000    8.8591
   10.0000    9.0743
   12.0000    9.2765
   14.0000    9.4676
   16.0000    9.6493
   18.0000    9.8229
   20.0000    9.9896
   22.0000   10.1505
   24.0000   10.3062
   26.0000   10.4576
   28.0000   10.6052
   30.0000   10.7494
   32.0000   10.8905
   34.0000   11.0289
   36.0000   11.1648
   38.0000   11.2982
   40.0000   11.4293
   42.0000   11.5582
   44.0000   11.6848
   46.0000   11.8091
   48.0000   11.9313
   50.0000   12.0511
   52.0000   12.1686
   54.0000   12.2837
   56.0000   12.3964
   58.0000   12.5067
   60.0000   12.6145
   62.0000   12.7199
   64.0000   12.8228
   66.0000   12.9231
   68.0000   13.0210
   70.0000   13.1164
   72.0000   13.2094
   74.0000   13.3000
   76.0000   13.3882
   78.0000   13.4742
   80.0000   13.5579
   82.0000   13.6395
   84.0000   13.7189
   86.0000   13.7964
   88.0000   13.8720
   90.0000   13.9457
   92.0000   14.0178
   94.0000   14.0881
   96.0000   14.1569
   98.0000   14.2243
  100.0000   14.2902
  102.0000   14.3548
  104.0000   14.4182
  106.0000   14.4804
  108.0000   14.5415
  110.0000   14.6015
  112.0000   14.6606
  114.0000   14.7186
  116.0000   14.7757
  118.0000   14.8319
  120.0000   14.8872
  122.0000   14.9417
  124.0000   14.9952
  126.0000   15.0479
  128.0000   15.0997
  130.0000   15.1507
  132.0000   15.2008
  134.0000   15.2500
  136.0000   15.2983
  138.0000   15.3457
  140.0000   15.3922
  142.0000   15.4378
  144.0000   15.4825
  146.0000   15.5262
  148.0000   15.5691
  150.0000   15.6111
  152.0000   15.6522
  154.0000   15.6925
  156.0000   15.7319
  158.0000   15.7707
  160.0000   15.8087
  162.0000   15.8460
  164.0000   15.8828
  166.0000   15.9190
  168.0000   15.9548
  170.0000   15.9902
  172.0000   16.0252
  174.0000   16.0599
  176.0000   16.0944
  178.0000   16.1286
  180.0000   16.1627
  182.0000   16.1964
  184.0000   16.2299
  186.0000   16.2629
  188.0000   16.2953
  190.0000   16.3268
  192.0000   16.3572
  194.0000   16.3861
  196.0000   16.4130
  198.0000   16.4372
  200.0000   16.4579
